,0,1,2,3
376,['wildboar'],1,[54.416656494140625],"[[1, 294, 412, 929]]"
377,['wildboar'],1,[62.81818747520447],"[[7, 334, 385, 959]]"
378,['wildboar'],1,[60.519951581954956],"[[1, 328, 398, 970]]"
379,[],0,[],[]
380,['wildboar'],1,[67.16066002845764],"[[8, 317, 469, 971]]"
381,['wildboar'],1,[68.83594989776611],"[[7, 315, 428, 970]]"
382,['wildboar'],1,[66.80998206138611],"[[0, 323, 396, 968]]"
383,['wildboar'],1,[53.9345383644104],"[[0, 300, 465, 1012]]"
384,['wildboar'],1,[69.16743516921997],"[[0, 342, 454, 983]]"
385,['wildboar'],1,[56.42543435096741],"[[0, 303, 462, 966]]"
386,['wildboar'],1,[65.19297361373901],"[[0, 286, 440, 956]]"
387,['wildboar'],1,[74.07170534133911],"[[0, 307, 437, 974]]"
388,['wildboar'],1,[67.18337535858154],"[[0, 296, 438, 969]]"
389,['wildboar'],1,[60.18322706222534],"[[0, 307, 533, 1017]]"
390,['wildboar'],1,[69.83868479728699],"[[0, 291, 424, 987]]"
391,['wildboar'],1,[69.55657005310059],"[[12, 364, 449, 972]]"
392,['wildboar'],1,[71.74068093299866],"[[0, 378, 455, 984]]"
393,['wildboar'],1,[85.90855598449707],"[[0, 352, 399, 987]]"
394,['wildboar'],1,[54.40042018890381],"[[0, 353, 406, 873]]"
395,[],0,[],[]
396,['wildboar'],1,[57.87562131881714],"[[0, 248, 392, 944]]"
397,['wildboar'],1,[73.73942136764526],"[[0, 316, 419, 937]]"
398,['wildboar'],1,[79.1574239730835],"[[0, 356, 435, 922]]"
399,[],0,[],[]
400,['wildboar'],1,[61.643415689468384],"[[0, 297, 437, 926]]"
401,['wildboar'],1,[72.50369787216187],"[[0, 325, 420, 969]]"
402,['wildboar'],1,[76.29129886627197],"[[0, 267, 427, 1000]]"
403,['wildboar'],1,[54.79968786239624],"[[0, 268, 435, 986]]"
404,[],0,[],[]
405,['wildboar'],1,[75.55159330368042],"[[0, 344, 419, 956]]"
406,['wildboar'],1,[66.56196117401123],"[[0, 288, 406, 989]]"
407,[],0,[],[]
408,[],0,[],[]
409,[],0,[],[]
410,[],0,[],[]
411,[],0,[],[]
412,['wildboar'],1,[52.4918258190155],"[[0, 274, 440, 1014]]"
413,[],0,[],[]
414,[],0,[],[]
415,[],0,[],[]
416,[],0,[],[]
417,['wildboar'],1,[53.94898056983948],"[[0, 386, 372, 1002]]"
418,[],0,[],[]
419,[],0,[],[]
420,[],0,[],[]
421,[],0,[],[]
422,[],0,[],[]
423,[],0,[],[]
424,[],0,[],[]
425,[],0,[],[]
426,[],0,[],[]
427,[],0,[],[]
428,[],0,[],[]
429,[],0,[],[]
430,[],0,[],[]
431,[],0,[],[]
432,[],0,[],[]
433,[],0,[],[]
434,[],0,[],[]
435,[],0,[],[]
436,[],0,[],[]
437,[],0,[],[]
438,[],0,[],[]
439,[],0,[],[]
440,[],0,[],[]
441,[],0,[],[]
442,[],0,[],[]
443,[],0,[],[]
444,[],0,[],[]
445,[],0,[],[]
446,[],0,[],[]
447,[],0,[],[]
448,[],0,[],[]
449,[],0,[],[]
450,[],0,[],[]
451,[],0,[],[]
452,[],0,[],[]
453,[],0,[],[]
454,[],0,[],[]
455,[],0,[],[]
456,[],0,[],[]
457,[],0,[],[]
458,[],0,[],[]
459,[],0,[],[]
460,[],0,[],[]
461,[],0,[],[]
462,[],0,[],[]
463,['wildboar'],1,[59.446388483047485],"[[0, 353, 319, 895]]"
464,['wildboar'],1,[54.64649200439453],"[[0, 353, 313, 874]]"
465,[],0,[],[]
466,[],0,[],[]
467,[],0,[],[]
468,[],0,[],[]
469,['wildboar'],1,[68.09762716293335],"[[0, 323, 320, 902]]"
470,[],0,[],[]
471,[],0,[],[]
472,[],0,[],[]
473,[],0,[],[]
474,[],0,[],[]
475,[],0,[],[]
476,[],0,[],[]
477,[],0,[],[]
478,[],0,[],[]
479,['wildboar'],1,[50.99745988845825],"[[0, 307, 327, 868]]"
480,[],0,[],[]
481,[],0,[],[]
482,[],0,[],[]
483,['wildboar'],1,[53.08752655982971],"[[0, 311, 405, 909]]"
484,[],0,[],[]
485,['wildboar'],1,[53.83492112159729],"[[0, 256, 370, 913]]"
486,[],0,[],[]
487,[],0,[],[]
488,[],0,[],[]
489,['wildboar'],1,[61.4793062210083],"[[0, 318, 373, 932]]"
490,[],0,[],[]
491,[],0,[],[]
492,[],0,[],[]
493,[],0,[],[]
494,[],0,[],[]
495,['wildboar'],1,[66.60120487213135],"[[0, 264, 346, 903]]"
496,['wildboar'],1,[52.87253260612488],"[[0, 298, 367, 916]]"
497,[],0,[],[]
498,"['wildboar', 'wildcat']",2,"[65.83322882652283, 51.61867141723633]","[[0, 306, 394, 905], [16, 655, 213, 878]]"
499,[],0,[],[]
500,['wildboar'],1,[57.940638065338135],"[[0, 260, 385, 905]]"
501,['wildboar'],1,[63.630473613739014],"[[0, 262, 343, 891]]"
502,[],0,[],[]
503,['wildboar'],1,[51.47479176521301],"[[0, 285, 388, 901]]"
504,['wildboar'],1,[72.98586368560791],"[[0, 318, 375, 908]]"
505,[],0,[],[]
506,['wildboar'],1,[61.807602643966675],"[[0, 308, 342, 909]]"
507,[],0,[],[]
508,[],0,[],[]
